session_id,label,split,group_sha256,event_token,verification_result_path,trajectory_path,projection_request_path
cocc-00020-3f14d1963e,0,test,6195df46a1ee6b6984140dc3c3e6d772765010745d6c3f1ddd736ddbbd564cca,2155,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00020-3f14d1963e.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00020-3f14d1963e\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00020-3f14d1963e.json
cocc-00021-3099ecf25f,1,test,8fe57443675ecebfd10fcfecc3988ba43354c57c9ce5cb5c1b023db02b61a419,16383,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00021-3099ecf25f.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00021-3099ecf25f\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00021-3099ecf25f.json
cocc-00022-7d14c01928,0,test,6d0ae6d0fcd01bc8ab3fd34e8090e9c27031b52f68f6169a7e963915d31f3d17,3758,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00022-7d14c01928.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00022-7d14c01928\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00022-7d14c01928.json
cocc-00023-d4dc294d49,0,test,bd64e1346049830018c72cd3623c277fc5095c34bbb07d567628ee499853d0fc,10436,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00023-d4dc294d49.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00023-d4dc294d49\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00023-d4dc294d49.json
cocc-00024-2c2245b481,0,test,9087bff4ee5a4c50553a8a9096963d8d75dea9601fee74de289bbf21bcc25608,1811,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00024-2c2245b481.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00024-2c2245b481\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00024-2c2245b481.json
cocc-00025-130347576b,0,test,c333a75353784177f2394d1c4994cc98ff751dad713b4b75ea5a05506e5802cc,6564,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00025-130347576b.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00025-130347576b\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00025-130347576b.json
cocc-00026-0898e43e3b,0,test,28742531f88cae251171e0ebd4ff582684137116a6b3bd72cd3768e9b388e708,8445,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00026-0898e43e3b.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00026-0898e43e3b\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00026-0898e43e3b.json
cocc-00027-5958e0685d,0,test,6bcc05d40b1752992b7142914608fbac9adb28af8ca29b7d14b1e46428be693e,6804,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00027-5958e0685d.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00027-5958e0685d\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00027-5958e0685d.json
cocc-00028-4552079fb5,0,test,48be9979594810ed8c4e8d841c941d2602f2b01bfb3688e696d07db805f87452,5514,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00028-4552079fb5.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00028-4552079fb5\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00028-4552079fb5.json
cocc-00029-21edc2100e,0,test,19d62f0f54e0697f2532ba0897789728805b4cb6bafb4e212d268a54058440af,4694,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00029-21edc2100e.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00029-21edc2100e\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00029-21edc2100e.json
cocc-00030-94bca8aae3,1,test,46ddd8196f72b3e629511ce5c746aaaa82d53df3f9a3e8831d653bbb04ccf13e,16383,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00030-94bca8aae3.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00030-94bca8aae3\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00030-94bca8aae3.json
cocc-00031-27058e6b76,0,test,e0c7bfa5b8e4ae0cecfc1f14093a71e05c27abd93a3850fc35f008c3baf866b4,10942,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00031-27058e6b76.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00031-27058e6b76\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00031-27058e6b76.json
cocc-00032-0c9462088b,1,test,67be10d98e9ab6d770578f47763baa3bec8e6b3ce68f323cafe00a65ffa43f0d,16383,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\verification\results\cocc-00032-0c9462088b.json,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\cocc-00032-0c9462088b\trajectory.jsonl,run_outputs\cocc_mistral_medium_3_5_confirmatory_v5\projection\requests\cocc-00032-0c9462088b.json
